default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,2,5,8,0.7365515,0.015691,11.051175,0.04,5192.666666666667,0.945,0.95,4.4366666666666665,12.5855
0,2,5,8,0.73654,0.01583,9.425587499999999,0.0505,5213.333333333333,0.94,0.96,4.443333333333333,12.5855
0,2,5,8,0.7365437,0.01544,7.8,0.061,5234.0,0.94,0.91,4.45,12.5855
0,2,5,8,2.7967400000000002,0.0377,7.4687,0.264,5250.0,0.96,0.9,4.42,12.5855
1,2,5,8,0.736539,0.01544,26.140349999999998,0.132,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,260.7,0.775,44.812,0.0,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,260.0,0.7809999999999999,45.766000000000005,0.2,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,261.2,0.77,54.663999999999994,0.32,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,260.91,0.7733,249.38876666666667,0.08,5250.0,0.96,0.9,4.42,12.5855
1,2,5,8,262.0,0.7879999999999999,444.11353333333335,0.305,5094.0,3.08,0.95,3.8049999999999997,12.5855
1,1,1,8,934.3,2.11,638.8383,0.073,4938.0,5.2,1.44,3.19,54.6599
0,1,1,8,899.0,2.2,762.8,0.134,4978.0,5.2,1.7,3.16,54.6599
0,1,1,8,874.7739999999999,2.18,702.4043,0.125,5277.5,5.2,1.82,3.75,54.6599
1,1,3,8,4.215,0.050200999999999996,5.1,0.12,5577.0,0.96,0.94,4.34,8.50332
1,1,3,8,38.021,0.2175,18.2,0.14,5577.0,0.96,0.94,4.34,8.50332
1,1,3,8,123.01,0.47600000000000003,22.9,0.35,5577.0,0.96,0.94,4.34,8.50332
1,1,2,8,735.1,1.758,587.9855,0.06,4826.0,4.87,1.34,3.19,19.8101
0,1,2,8,796.0,1.93,781.8618,0.22,4794.52,4.91,1.4300000000000002,3.2199999999999998,19.8101
0,1,2,8,763.0,1.9,826.3,0.14,4792.0,2.3,1.52,3.25,19.8101
1,1,2,8,996.0,2.153,276.5121,0.08,4826.0,4.87,1.34,3.19,19.8101
1,1,1,8,116.68799999999999,0.48100000000000004,2357.0272800000002,0.3988,5495.0,1.89,1.09,3.95,17.9011
0,1,1,8,116.6884,0.484,2220.95364,0.4007,5545.0,1.9066666666666665,1.11,4.07,17.9011
